Player,TEAM,TYPE,SEASON,AGE,GP,W,L,MIN,FGM,FGA,FGP,3PM,3PA,3PP,FTM,FTA,FTP,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,PTS,Plus_Minus,OffRtg,DefRtg,NetRtg,ASTP,AST/TO,AST Ratio,OREBP,DREBP,REBP,TO Ratio,eFGP,TSP,USGP,PACE,PIE
A.J. Price_2014-2015,CLE,Regular,2014-2015,28,26,11,15,12.4,2,5.3,37.2,0.6,2.2,26.3,0.6,0.9,66.7,0.2,1,1.2,1.8,0.5,0.3,0,0.6,0,0,5.1,-2.5,94.4,106.6,-12.2,25.4,3.29,22.2,1.9,9.6,5.5,6.7,42.7,45.1,22.6,92.17,8.9
Aaron Brooks_2014-2015,CHI,Regular,2014-2015,30,82,50,32,23,4.2,10,42.1,1.5,3.8,38.7,1.8,2.1,83.3,0.4,1.6,2,3.2,1.9,0.7,0.2,2.3,1,0,11.6,2.6,106.9,101.7,5.2,24.5,1.66,19.9,1.9,7.8,4.9,12,49.5,53.4,25.2,94.65,9.2
Aaron Gordon_2014-2015,ORL,Regular,2014-2015,19,47,14,33,17,2,4.4,44.7,0.3,1,27.1,0.9,1.3,72.1,1,2.6,3.6,0.7,0.8,0.4,0.5,1.8,1,0,5.2,-3.5,98.9,104.5,-5.6,6.4,0.87,10.8,6.4,17.1,11.7,12.4,47.8,51.7,15.6,96.63,7.4
Adreian Payne_2014-2015,MIN,Regular,2014-2015,24,32,7,25,23.1,2.8,6.9,41.4,0,0.3,11.1,0.9,1.4,65.2,1.5,3.6,5.1,0.9,1.4,0.6,0.3,2.8,3,0,6.7,-7.7,99.2,116.1,-16.9,6.7,0.68,9.5,7.3,18.6,12.7,14,41.6,44.3,17.6,94.41,4.7
Al Horford_2014-2015,ATL,Regular,2014-2015,29,76,56,20,30.5,6.8,12.7,53.8,0.1,0.5,30.6,1.4,1.9,75.9,1.7,5.4,7.2,3.2,1.3,0.9,1.3,1.6,14,1,15.2,3.8,107.6,101,6.6,17.8,2.44,17.8,6.8,19.3,13.4,7.3,54.4,56.3,22.5,95.85,14.5
Al Jefferson_2014-2015,CHA,Regular,2014-2015,30,65,25,40,30.6,7.5,15.5,48.1,0,0.1,40,1.7,2.5,65.5,1.5,6.9,8.4,1.7,1,0.7,1.3,2.1,22,0,16.6,-1.8,98.2,101.9,-3.7,11,1.66,8.9,5.4,26,15.4,5.4,48.2,50,26.7,95.12,14.2
Al-Farouq Aminu_2014-2015,DAL,Regular,2014-2015,24,74,45,29,18.5,2,4.8,41.2,0.5,1.7,27.4,1.1,1.6,71.2,1.5,3.1,4.6,0.8,0.7,0.9,0.8,1.9,4,0,5.6,1.4,107.1,101.4,5.7,6.2,1.07,11.3,9.1,18,13.6,10.5,45.9,50.4,15.1,97.48,9.1
Alan Anderson_2014-2015,BKN,Regular,2014-2015,32,74,35,39,23.6,2.6,5.9,44.3,1,2.8,34.8,1.1,1.4,81.2,0.4,2.3,2.8,1.1,0.8,0.8,0.1,2,0,0,7.4,-0.8,99.9,101.3,-1.4,7.4,1.38,13.2,2,10.9,6.5,9.6,52.6,56.3,14.2,95.68,7.1
Alec Burks_2014-2015,UTA,Regular,2014-2015,23,27,9,18,33.3,4.5,11.1,40.3,1,2.5,38.2,3.9,4.8,82.2,0.7,3.5,4.2,3,1.9,0.6,0.2,2.4,2,0,13.9,-4.8,103.7,111.1,-7.4,14.5,1.58,16.7,2.5,12.7,7.6,10.6,44.7,52.4,21,92.9,8.3
Alex Kirk_2014-2015,CLE,Regular,2014-2015,23,5,2,3,2.8,0.2,0.8,25,0,0,0,0.4,0.4,100,0.2,0,0.2,0.2,0,0,0,0.2,0,0,0.8,-2.8,79.3,141.1,-61.8,12.5,0,17,9.1,0,4.5,0,25,41,17,91.44,2.8
Alex Len_2014-2015,PHX,Regular,2014-2015,22,69,35,34,22,2.6,5.1,50.7,0,0,33.3,1.1,1.5,70.2,2.1,4.5,6.6,0.5,1.1,0.5,1.5,3.1,10,0,6.3,-0.4,102,101.5,0.5,3,0.43,6.3,10.2,22.3,16.3,14.7,50.8,54.2,13.5,100.21,8.4
Alexey Shved_2014-2015,NYK,Regular,2014-2015,26,42,10,32,18.3,3.2,8,39.7,1.1,3.3,33.8,2.9,3.6,80.7,0.5,1.8,2.4,2.5,1.1,0.7,0.1,1.1,2,0,10.3,-3.1,96.5,105.1,-8.5,26,2.21,19.1,3.1,11.1,7,8.6,46.7,54.1,25.8,97.63,13.1
Alexis Ajinca_2014-2015,NOP,Regular,2014-2015,27,68,41,27,14.1,2.7,4.8,55,0,0,0,1.2,1.5,81.8,1.5,3.1,4.6,0.7,1,0.3,0.8,2.2,5,0,6.5,-0.2,103.4,104,-0.6,8.4,0.68,9.6,13,24.8,19.1,14.1,55,59.5,21.4,91.9,13.5
Allen Crabbe_2014-2015,POR,Regular,2014-2015,23,51,36,15,13.4,1.2,3,41.2,0.6,1.7,35.3,0.2,0.3,75,0.1,1.3,1.4,0.8,0.3,0.4,0.3,1.5,0,0,3.3,-0.5,100.1,101.9,-1.8,8.2,2.6,18.2,1.1,10.4,5.8,7,51,52.5,11.5,96.86,5.1
Alonzo Gee_2014-2015,POR,Regular,2014-2015,28,54,21,33,12.2,1.6,3.4,46.8,0.2,0.6,37.1,1,1.4,70.1,0.7,1.1,1.7,0.5,0.6,0.6,0.1,1.1,0,0,4.5,-1.8,100.8,106.4,-5.6,6.2,0.76,9,6.2,9.5,7.8,11.9,50.3,54.8,16.8,99.56,7.5
Amare Stoudemire_2014-2015,DAL,Regular,2014-2015,32,59,19,40,21.1,4.6,8.3,55.7,0,0.1,0,2.3,3.2,72,1.9,3.7,5.6,0.8,1.3,0.5,0.6,2.7,4,0,11.5,-1,103.5,108.4,-4.9,6.4,0.58,6.5,10.5,21.2,15.8,11.2,55.7,59.5,23.8,93.4,13.1
Amir Johnson_2014-2015,TOR,Regular,2014-2015,28,75,44,31,26.4,4,6.9,57.4,0.3,0.6,41.3,1.1,1.7,61.2,2.1,4,6.1,1.6,1.5,0.6,0.8,3,6,0,9.3,0.8,106.7,104.4,2.3,9.2,1.06,14.6,9.3,16.4,12.9,13.7,59.2,60.3,15.7,95.56,9.3
Anderson Varejao_2014-2015,CLE,Regular,2014-2015,32,26,16,10,24.4,4.3,7.7,55.5,0,0.1,0,1.3,1.7,73.3,2.2,4.3,6.5,1.3,1.3,0.7,0.6,2.2,2,0,9.8,0.2,104.4,105.3,-1,9,1,12.1,11.1,21.2,16.2,12.1,55.5,58,18.5,94.01,11.2
Andre Dawkins_2014-2015,MIA,Regular,2014-2015,23,4,2,2,5.4,0.3,1.5,16.7,0.3,1.5,16.7,0,0,0,0,0.5,0.5,0.3,0.3,0,0,0.8,0,0,0.8,-1,87.1,105.4,-18.3,7.7,1,12.5,0,7.1,4.3,12.5,25,25,15.3,92.42,-4.1
Andre Drummond_2014-2015,DET,Regular,2014-2015,21,82,32,50,30.5,6,11.7,51.4,0,0,0,1.7,4.5,38.9,5.3,8.1,13.5,0.7,1.5,0.9,1.9,3.5,48,0,13.8,-0.7,103.3,105.5,-2.1,3.7,0.46,4.2,18.3,30.2,24,9.3,51.4,50.4,21.9,95.11,12.5
Andre Iguodala_2014-2015,GSW,Regular,2014-2015,31,77,64,13,26.9,3,6.4,46.6,1,2.8,34.9,0.9,1.5,59.6,0.6,2.8,3.3,3,1.1,1.2,0.3,1.3,0,0,7.8,5.7,109,96.8,12.2,15.1,2.59,26.4,2.4,10.9,6.8,10.2,54,55.3,13.5,99.91,9
Andre Miller_2014-2015,SAC,Regular,2014-2015,39,81,44,37,15.5,1.8,3.6,50,0.1,0.4,20.6,0.7,1,75.3,0.5,1.4,1.9,3.5,1.3,0.4,0.1,1.3,1,0,4.4,-1.6,102.5,106.9,-4.4,35.2,2.73,39.9,3.6,10.5,7.1,14.6,51.2,54.8,15.5,94.03,10.5
Andre Roberson_2014-2015,OKC,Regular,2014-2015,23,67,41,26,19.2,1.4,3,45.8,0.3,1.3,24.7,0.3,0.7,47.9,0.9,2.9,3.8,1,0.7,0.8,0.4,2.1,1,0,3.4,1.5,105.1,100.1,5.1,7.5,1.52,20.7,5.2,15.9,10.8,13.6,51,51.3,8.9,99.29,6
Andrea Bargnani_2014-2015,NYK,Regular,2014-2015,29,29,5,24,27.1,5.7,12.4,45.4,0.5,1.4,36.6,3,3.7,81.3,1.1,3.3,4.4,1.6,1.4,0.1,0.9,1.8,2,0,14.8,-9.3,94,111.5,-17.5,11.9,1.1,9.3,4.3,14.8,9.2,8.5,47.5,52.7,26.2,94.87,10.9
Andrei Kirilenko_2014-2015,BKN,Regular,2014-2015,34,7,3,4,5.2,0,0.7,0,0,0,0,0.4,0.6,75,0.3,0.9,1.1,0.1,0.1,0.1,0,0.1,0,0,0.4,-4,89,128.3,-39.3,3.8,1,11.4,6.5,16.2,11.8,11.4,0,22.2,9.2,97.2,3
Andrew Bogut_2014-2015,GSW,Regular,2014-2015,30,67,58,9,23.6,3,5.3,56.3,0,0,0,0.3,0.6,52.4,2.1,6,8.1,2.7,1.6,0.6,1.7,2.8,6,0,6.3,8,111.7,95.2,16.6,14.9,1.7,27.3,10.1,26.2,18.5,16.1,56.3,56.5,13.3,99.56,11.3
Andrew Nicholson_2014-2015,ORL,Regular,2014-2015,25,40,14,26,12.3,2.1,4.8,43.7,0.3,1,31.7,0.4,0.6,60,0.4,1.6,2.1,0.6,0.6,0.2,0.3,1.3,0,0,4.9,-2.1,96.3,104.2,-7.9,7.6,0.92,8.9,4,14.7,9.4,9.7,47.1,48.3,21.3,94.54,6.7
Andrew Wiggins_2014-2015,MIN,Regular,2014-2015,20,82,16,66,36.2,6.1,13.9,43.7,0.5,1.5,31,4.3,5.7,76,1.6,2.9,4.6,2.1,2.2,1,0.6,2.3,2,0,16.9,-6.7,100.2,110.3,-10.1,9.7,0.96,10.1,5,9.6,7.2,10.5,45.4,51.7,22.6,96.54,8.1
Anthony Bennett_2014-2015,MIN,Regular,2014-2015,22,57,12,45,15.7,2.2,5.2,42.1,0.1,0.4,30.4,0.7,1.1,64.1,0.9,2.9,3.8,0.8,0.6,0.5,0.3,1.5,2,0,5.2,-5.2,96.6,113.2,-16.5,8.7,1.33,11.7,6.2,22.9,13.9,8.8,43.3,45.8,17.6,98.56,7.9
Anthony Davis_2014-2015,NOP,Regular,2014-2015,22,68,39,29,36.1,9.4,17.6,53.5,0,0.2,8.3,5.5,6.8,80.5,2.5,7.7,10.2,2.2,1.4,1.5,2.9,2.1,42,0,24.4,3.9,108.4,103.3,5.1,10.9,1.57,9.1,8,24,16,5.8,53.6,59.1,27.6,94.27,19.2
Anthony Morrow_2014-2015,OKC,Regular,2014-2015,29,74,42,32,24.4,3.9,8.3,46.3,1.9,4.4,43.4,1.1,1.2,88.8,0.5,2.1,2.6,0.8,0.5,0.7,0.1,1.8,2,0,10.7,3.1,106.4,102.1,4.4,5,1.58,8,2.4,9,5.7,5.1,57.8,60.4,16.4,98.74,9.2
Anthony Tolliver_2014-2015,DET,Regular,2014-2015,30,76,36,40,18.9,2.1,5.2,41,1.4,3.8,36.6,0.7,0.9,78.3,0.7,2.4,3.1,0.8,0.7,0.3,0.2,1.8,1,0,6.3,1.3,106.3,103.1,3.2,6.1,1.16,11.1,3.9,15.2,9.4,9.6,54.5,56.9,14.8,96.31,6.9
Archie Goodwin_2014-2015,PHX,Regular,2014-2015,20,41,16,25,13,1.9,4.9,39.3,0.3,1,29.3,1.5,2,73.5,0.7,1.1,1.8,1.1,1.2,0.4,0.2,1.3,0,0,5.6,-4,91.7,107.1,-15.4,14.9,0.92,13.4,4.9,10,7.3,14.6,42.3,48.6,23,97.6,6.5
Arinze Onuaku_2014-2015,MIN,Regular,2014-2015,27,6,0,6,11.4,2,2.3,85.7,0,0,0,0.5,1.3,37.5,1.2,2.3,3.5,0.7,0.3,0.2,0.5,1,0,0,4.5,-3,111.2,120.9,-9.7,8.9,2,17,11.5,21.2,16.5,8.5,85.7,77.1,12.5,97.51,13
Aron Baynes_2014-2015,SAS,Regular,2014-2015,28,70,49,21,16,2.6,4.7,56.6,0,0.1,25,1.3,1.5,86.5,1.6,3,4.5,0.5,0.9,0.2,0.3,2.3,5,0,6.6,1.9,104.4,97.7,6.8,4.9,0.54,7.4,11.4,20.6,16.1,13.7,56.7,61.8,17.6,97.05,10.6
Arron Afflalo_2014-2015,POR,Regular,2014-2015,29,78,35,43,32.1,4.8,11.3,42.4,1.5,4.3,35.4,2.1,2.5,84.3,0.3,2.8,3.2,1.7,1.5,0.5,0.1,2.1,0,0,13.3,-0.3,104.5,105.6,-1.2,7.9,1.11,10.6,1.2,9.6,5.3,9.5,49.1,53.3,19.1,97.25,6.8
Austin Daye_2014-2015,ATL,Regular,2014-2015,27,34,17,17,10.1,1.5,4.1,35.5,0.7,2.1,33.8,0.1,0.2,83.3,0.3,1.9,2.2,0.5,0.7,0.4,0.1,1.1,2,0,3.8,-1.3,99.2,102.3,-3.1,8.3,0.74,9.3,3.1,21.2,11.9,12.5,44,44.9,21.7,98.56,6.6
Austin Rivers_2014-2015,LAC,Regular,2014-2015,22,76,46,30,20.6,2.7,6.5,40.9,0.5,1.7,29.8,1.1,1.7,67.5,0.4,1.6,2,2,0.9,0.6,0.2,1.9,0,0,7,-1.7,101.4,104.6,-3.2,15.7,2.38,20.1,1.9,8.9,5.3,8.4,44.9,48.1,17.9,95.38,6.4
Avery Bradley_2014-2015,BOS,Regular,2014-2015,24,77,37,40,31.5,5.6,13.2,42.8,1.6,4.6,35.2,1,1.3,79,0.6,2.5,3.1,1.8,1.4,1.1,0.2,2.3,1,0,13.9,-1.1,100.1,102.5,-2.4,8.7,1.24,10.4,2,8.9,5.4,8.4,49,50.7,21,99.12,7.1
Ben Gordon_2014-2015,ORL,Regular,2014-2015,32,56,17,39,14.1,2.3,5.3,43.7,0.6,1.7,36.1,1,1.2,83.6,0.1,1,1.1,0.9,1,0.3,0,1.1,0,0,6.2,-2.4,97.2,106.2,-9,11.1,0.91,11.6,0.8,8.3,4.5,12.8,49.7,53.8,22,95.26,7.3
Ben McLemore_2014-2015,SAC,Regular,2014-2015,22,82,29,53,32.6,4.4,10.1,43.7,1.7,4.8,35.8,1.6,2,81.3,0.4,2.6,2.9,1.7,1.7,0.9,0.2,2.7,0,0,12.1,-0.4,103.2,104.5,-1.3,8.2,1.01,11.9,1.4,8.6,5.2,11.7,52.1,55.2,17.2,98.17,6.5
Beno Udrih_2014-2015,MEM,Regular,2014-2015,32,79,55,24,18.9,3.1,6.4,48.7,0.3,1.2,26.8,1.1,1.3,85.3,0.3,1.6,1.8,2.8,1.1,0.6,0.1,1.1,0,0,7.7,-0.1,101.2,101,0.2,23.6,2.47,25.6,1.5,9.2,5.4,10.4,51.3,55,19.7,94.28,11.2
Bernard James_2014-2015,DAL,Regular,2014-2015,30,16,6,10,9.9,0.8,1.7,44.4,0,0,0,1.3,1.4,87,1.1,1.3,2.4,0.3,0.4,0.1,0.9,1.1,0,0,2.8,-0.6,99.4,101.1,-1.7,3.9,0.67,8.5,12.3,14.6,13.4,12.7,44.4,59.3,12,97.31,9.2
Bismack Biyombo_2014-2015,CHA,Regular,2014-2015,22,64,26,38,19.4,1.6,2.9,54.3,0,0,0,1.6,2.7,58.3,2.5,3.9,6.4,0.3,0.8,0.3,1.5,2.2,6,0,4.8,-0.5,97.5,98.7,-1.2,2.1,0.31,4.8,13.4,22.2,17.7,15.7,54.3,57.8,11.5,94.05,9.5
Blake Griffin_2014-2015,LAC,Regular,2014-2015,26,67,47,20,35.2,8.6,17.1,50.2,0.1,0.4,40,4.6,6.4,72.8,1.9,5.7,7.6,5.3,2.3,0.9,0.5,2.9,18,0,21.9,8.7,115.1,103.5,11.5,24.6,2.33,19.3,6.3,18,12.3,8.3,50.6,55.1,28.1,97.12,14.6
Bojan Bogdanovic_2014-2015,BKN,Regular,2014-2015,26,78,36,42,23.8,3.3,7.4,45.3,1.2,3.3,35.5,1.1,1.4,82.1,0.6,2.1,2.7,0.9,1,0.4,0.1,1.3,0,0,9,-2.3,103,107.9,-4.9,5.7,0.87,8.8,3.1,9.7,6.4,10.1,53.2,56.2,17.2,94.97,7.3
Boris Diaw_2014-2015,SAS,Regular,2014-2015,33,81,55,26,24.5,3.6,7.8,46,0.7,2.1,32,0.9,1.1,77.4,1,3.3,4.3,2.9,1.6,0.4,0.3,1.8,1,0,8.7,3.6,105.6,98.8,6.7,18.1,1.85,22.6,4.6,15.3,10.1,12.2,50.3,52.6,18.3,95.53,9.5
Bradley Beal_2014-2015,WAS,Regular,2014-2015,22,63,37,26,33.5,5.8,13.5,42.7,1.7,4.1,40.9,2.1,2.6,78.3,0.9,2.9,3.8,3.1,2,1.2,0.3,2.2,2,0,15.3,3.1,104.7,98.9,5.8,14.4,1.58,15.6,3.2,9.8,6.6,9.9,48.9,52.1,22.6,96.2,9.2
Brandan Wright_2014-2015,PHX,Regular,2014-2015,27,75,37,38,19.3,3.1,4.8,64.2,0,0,0,1,1.5,69.6,1.7,2.6,4.3,0.5,0.5,0.7,1.3,1.4,3,0,7.3,-0.2,103.7,103.6,0.1,4.4,1.21,8.4,9.9,14.8,12.3,7,64.2,66,13.8,96.74,12.8
Brandon Bass_2014-2015,BOS,Regular,2014-2015,30,82,40,42,23.5,4.2,8.3,50.4,0.1,0.4,28.1,2.1,2.6,79,1.7,3.2,4.9,1.3,1,0.5,0.4,1.7,5,0,10.6,-2.2,100.6,102.7,-2.1,9.1,1.25,10.8,7.9,14.9,11.3,8.6,51,55.7,20,97.87,11
Brandon Davies_2014-2015,PHI,Regular,2014-2015,23,27,6,21,15.7,2,5.1,40.1,0.3,1.3,23.5,0.9,1.4,64.9,1.4,1.7,3.1,1.1,1.1,0.7,0.3,2.2,0,0,5.3,-6,93.8,112.9,-19.1,12.3,1.03,14.1,9.9,13.5,11.6,13.7,43.1,46.3,18.6,99.49,5
Brandon Jennings_2014-2015,DET,Regular,2014-2015,25,41,17,24,28.6,5.3,13.2,40.1,1.9,5.1,36,2.9,3.5,83.9,0.5,2,2.5,6.6,2.2,1.1,0.1,1.6,5,0,15.4,0.8,103.9,103.1,0.8,38.4,3.02,28.1,1.7,7.9,4.6,9.3,47.1,52.2,25.4,97.2,12.7
Brandon Knight_2014-2015,PHX,Regular,2014-2015,23,63,33,30,32.3,6,14.1,42.2,2,5.1,38.9,3.1,3.5,87.4,0.4,3.4,3.9,5.2,3,1.4,0.2,1.8,2,0,17,-1.3,100.2,101.3,-1.1,27.2,1.75,21.9,1.5,11.9,6.7,12.6,49.3,54.3,25.4,98.59,12.9
Brandon Rush_2014-2015,GSW,Regular,2014-2015,29,33,27,6,8.2,0.3,1.6,20.4,0.1,0.8,11.1,0.2,0.3,45.5,0.1,1.1,1.2,0.4,0.3,0.2,0.4,0.8,0,0,0.9,-3.8,94.5,113.4,-18.9,6.3,1.09,14.7,1.5,15.4,8.1,13.4,23.1,25.5,11.1,102.77,0.5
Brendan Haywood_2014-2015,CLE,Regular,2014-2015,35,22,14,8,5.4,0.6,1.4,46.7,0,0,0,0.3,0.6,53.8,0.3,1,1.3,0.1,0.5,0.1,0.5,0.8,0,0,1.6,-2.3,85.4,106.7,-21.3,3.2,0.2,4.2,5.6,19.2,12.7,21,46.7,49,18.1,95.71,5
Brian Roberts_2014-2015,CHA,Regular,2014-2015,29,72,30,42,18.5,2.4,6.3,38.9,0.9,2.7,32.1,0.9,1,89.2,0.2,1.3,1.5,2.3,0.8,0.5,0.1,1,0,0,6.7,-1.2,97.1,101.3,-4.2,20.9,2.84,23,1.1,7.9,4.5,8.1,45.8,49.5,18.7,94.42,8.6
Brook Lopez_2014-2015,BKN,Regular,2014-2015,27,72,34,38,29.2,7,13.7,51.3,0,0.1,10,3.1,3.8,81.4,3,4.5,7.4,0.7,1.4,0.6,1.8,2.9,17,0,17.2,-1.4,102.8,105.3,-2.5,4.4,0.48,4,11.3,17,14.1,8.2,51.3,55.8,26.2,94.99,13
Bruno Caboclo_2014-2015,TOR,Regular,2014-2015,19,8,7,1,2.9,0.5,1.5,33.3,0.3,0.4,66.7,0,0,0,0.1,0.1,0.3,0,0.5,0,0.1,0.4,0,0,1.3,-3.4,69.4,129.7,-60.3,0,0,0,4.8,5,4.9,25,41.7,41.7,31.5,87.04,-4.2
Bryce Cotton_2014-2015,UTA,Regular,2014-2015,22,15,9,6,10.6,1.9,4.6,42,0.5,1.3,35,1,1.2,83.3,0.2,1,1.2,1,0.8,0.3,0,0.4,0,0,5.3,0.1,101,101.3,-0.4,16.9,1.25,14.4,2.1,10.6,6.3,11.5,47.1,52,23.7,100.5,10.5
CJ McCollum_2014-2015,POR,Regular,2014-2015,23,62,37,25,15.7,2.6,5.9,43.6,0.9,2.2,39.6,0.8,1.2,69.9,0.2,1.2,1.5,1,0.8,0.7,0.1,1.3,0,0,6.8,1.9,103.1,97.7,5.3,10.4,1.33,12.6,1.6,8.3,5,9.4,51.1,53.4,20.5,96.53,7.9
CJ Miles_2014-2015,IND,Regular,2014-2015,28,70,31,39,26.3,4.7,11.8,39.8,2.2,6.4,34.5,1.9,2.3,80.7,0.3,2.8,3.1,1.1,1,0.9,0.4,1.9,1,0,13.5,2.3,102.5,98.4,4,6.9,1.03,7.2,1.1,11.4,6.3,7,49.1,52.5,23.5,97.26,9.1
CJ Watson_2014-2015,IND,Regular,2014-2015,31,57,25,32,24.9,3.2,7.3,43.4,1.2,3.1,40,2.4,2.9,82.6,0.3,2.5,2.9,3.6,1.8,1,0.2,1.9,0,0,10,0.1,100.5,101.1,-0.6,22.9,2.08,26,1.4,11.3,6.4,12.5,51.8,58.1,18.5,97.27,11.3
CJ Wilcox_2014-2015,LAC,Regular,2014-2015,24,21,15,6,4.8,0.8,1.8,42.1,0.3,0.9,36.8,0.1,0.1,100,0,0.3,0.3,0.4,0.5,0.1,0,0.3,0,0,2,-0.9,89.9,100.8,-10.9,15.1,0.8,14.1,1.1,6.2,3.7,17.6,51.3,52.7,22.3,98.44,5.9
Cameron Bairstow_2014-2015,CHI,Regular,2014-2015,24,18,12,6,3.5,0.2,0.8,21.4,0,0,0,0.2,0.3,80,0.3,0.1,0.4,0.1,0.2,0.1,0.1,0.4,0,0,0.6,-1.1,105.3,121.8,-16.5,2.1,0.33,5,11.1,4.1,7.8,14.9,21.4,30.9,14,92.52,-1.9
Carl Landry_2014-2015,SAC,Regular,2014-2015,31,70,26,44,17,2.7,5.3,51.5,0,0,0,1.8,2.1,82,1.4,2.4,3.8,0.4,0.8,0.2,0.2,1.9,3,0,7.2,-3.1,97.9,107.1,-9.2,4,0.48,5,9.5,15.2,12.4,10.5,51.5,57.8,18.2,96.69,9.6
Carlos Boozer_2014-2015,LAL,Regular,2014-2015,33,71,18,53,23.8,5.2,10.5,49.9,0,0,0,1.3,2.1,62.7,1.6,5.2,6.8,1.3,1.3,0.6,0.2,2.6,10,0,11.8,-4.5,100.7,109.9,-9.2,10.1,1.03,9.5,7,24.8,15.6,9.2,49.9,51.7,23.5,97.23,11.5
Carmelo Anthony_2014-2015,NYK,Regular,2014-2015,31,40,10,30,35.7,9,20.2,44.4,1.5,4.5,34.1,4.7,5.9,79.7,1.8,4.8,6.6,3.1,2.2,1,0.4,2.2,5,0,24.2,-2.7,105.1,109.3,-4.2,16.1,1.37,10.9,5.9,15.8,10.8,7.9,48.2,53.1,32.4,92.82,14
Caron Butler_2014-2015,DET,Regular,2014-2015,35,78,30,48,20.8,2.1,5.1,40.7,1.1,2.8,37.9,0.7,0.8,90.2,0.3,2.2,2.5,1,0.6,0.6,0.1,1.5,0,0,5.9,-0.3,101.8,103.6,-1.8,7.4,1.61,14.3,1.4,12.3,6.7,8.9,51.1,54.4,13.2,94.02,6.5
Cartier Martin_2014-2015,DET,Regular,2014-2015,30,23,7,16,8.6,0.7,2.3,28.3,0.3,1.4,18.2,0,0,0,0,0.9,0.9,0.5,0.2,0.1,0,0.9,0,0,1.6,0.9,100.6,98.3,2.3,8.5,2.2,15.9,0,11.4,5.3,7.2,34,34,12.8,93.99,1.2
Chandler Parsons_2014-2015,DAL,Regular,2014-2015,26,66,41,25,33.1,5.8,12.6,46.2,2,5.3,38,2.1,2.9,72,1,3.9,4.9,2.4,1.5,1,0.3,2.1,3,0,15.7,3.1,108.4,103.9,4.6,11.1,1.68,13.7,3.2,13.2,8.2,8.2,54.2,56.7,20.5,97.78,10.5
Channing Frye_2014-2015,ORL,Regular,2014-2015,32,75,23,52,24.9,2.5,6.5,39.2,1.8,4.6,39.3,0.4,0.5,88.6,0.4,3.5,3.9,1.3,1,0.6,0.5,2.5,2,0,7.3,-3.3,99.9,107.4,-7.6,7.4,1.21,13.9,1.6,16.9,8.9,11.6,53.2,54.6,14.1,95.63,6.2
Charles Hayes_2014-2015,TOR,Regular,2014-2015,32,29,17,12,8.8,0.8,1.6,47.8,0,0,0,0.2,0.4,54.5,0.6,1.1,1.8,0.7,0.3,0.3,0.1,1.3,0,0,1.7,1.3,112.1,104.6,7.6,10.5,2.5,25.4,8.2,16.3,12.1,10.1,47.8,49.2,10.6,95.76,5.2
Charlie Villanueva_2014-2015,DAL,Regular,2014-2015,30,64,37,27,10.6,2.3,5.7,41.4,1.3,3.5,37.6,0.3,0.5,57.1,0.5,1.9,2.3,0.3,0.4,0.2,0.3,1,0,0,6.3,-0.9,103.4,106.8,-3.3,4.7,0.68,4.5,4.6,18.5,11.5,6.6,52.9,53.4,26.1,99.98,10.4
Chase Budinger_2014-2015,MIN,Regular,2014-2015,27,67,8,59,19.2,2.5,5.8,43.3,0.8,2.1,36.4,1,1.2,82.7,0.5,2.5,3,1,0.7,0.7,0.1,1.1,0,0,6.8,-3.9,98.5,109,-10.5,8.2,1.31,11.9,2.9,14.9,8.9,9.1,50,53.7,16.5,97.4,8.6
Chris Andersen_2014-2015,MIA,Regular,2014-2015,36,60,27,33,18.9,2,3.5,58,0.1,0.2,30.8,1.3,1.9,66.7,1.3,3.7,5,0.7,0.7,0.4,1,1.5,1,0,5.3,-0.1,100.4,99.9,0.5,6.3,1.08,12.6,8.6,23.4,16.2,11.8,58.9,62.2,12.5,93.26,12
Chris Bosh_2014-2015,MIA,Regular,2014-2015,31,44,19,25,35.4,7.8,16.9,46,1.4,3.8,37.5,4.1,5.3,77.2,1,6,7,2.2,2.2,0.9,0.6,1.6,7,0,21.1,-2.3,101.7,103.9,-2.2,12.1,1,9.2,3.6,20.1,12,9.2,50.3,54.8,29,92.28,14.3
Chris Copeland_2014-2015,IND,Regular,2014-2015,31,50,19,31,16.6,2.2,6.2,36.1,1,3.3,31.1,0.7,0.9,73.3,0.5,1.8,2.2,1,1.2,0.2,0.2,1.6,1,0,6.2,-0.6,99.3,103.2,-3.9,10.2,0.86,11.6,3.1,11.8,7.5,13.4,44.5,46.8,21.2,95.33,4.8
Chris Douglas-Roberts_2014-2015,LAC,Regular,2014-2015,28,12,5,7,8.5,0.4,1.8,23.8,0.1,0.6,14.3,0.7,0.7,100,0.1,0.9,1,0.3,0,0.1,0,1.2,0,0,1.6,-1.3,101.8,109.6,-7.8,5.8,0,14,1.1,15.9,7.4,0,26.2,38.7,11,94.11,1.6
Chris Johnson_2014-2015,UTA,Regular,2014-2015,25,29,9,20,18.2,2.1,5.3,40.3,1,3.3,29.5,0.5,0.6,87.5,0.3,1.6,1.9,0.5,0.5,0.9,0.2,1.5,0,0,5.7,-1.1,98.9,101.6,-2.7,4.6,1,7.9,1.6,9.9,5.7,7.9,49.4,51.5,14.5,98.06,6.4
