Player,TEAM,TYPE,SEASON,AGE,GP,W,L,MIN,FGM,FGA,FGP,3PM,3PA,3PP,FTM,FTA,FTP,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,PTS,Plus_Minus,OffRtg,DefRtg,NetRtg,ASTP,AST/TO,AST Ratio,OREBP,DREBP,REBP,TO Ratio,eFGP,TSP,USGP,PACE,PIE
Jonas Jerebko_2014-2015,BOS,Regular,2014-2015,28,75,37,38,16.4,2.3,5.1,44.6,0.7,1.9,38.6,0.7,0.9,84.8,1.2,2.5,3.8,0.9,0.6,0.6,0.2,1.8,1,0,6,1.9,105,99.8,5.2,9.1,1.61,13.6,8.1,17.5,12.6,8.4,51.7,54.9,16.4,95.03,10
Jonas Valanciunas_2014-2015,TOR,Regular,2014-2015,23,80,47,33,26.2,4.7,8.2,57.2,0,0,0,2.7,3.5,78.6,2.7,6,8.7,0.5,1.4,0.4,1.2,2.8,22,0,12,-0.3,104.9,105.6,-0.7,3.1,0.36,4.2,12.1,25.4,18.9,11.8,57.2,62.3,19.3,94.97,13.4
Jordan Adams_2014-2015,MEM,Regular,2014-2015,20,30,14,16,8.3,1.2,2.9,40.7,0.3,0.8,40,0.5,0.8,60.9,0.3,0.6,0.9,0.5,0.5,0.5,0.2,0.8,0,0,3.1,0.5,101.7,100.4,1.3,10.1,1.14,12.7,3.9,8.4,6.1,11.1,46.5,48.9,19.5,95.02,7.2
Jordan Clarkson_2014-2015,LAL,Regular,2014-2015,23,59,11,48,25,4.5,10.1,44.8,0.6,2.1,31.4,2.2,2.7,82.9,0.9,2.3,3.2,3.5,1.6,0.9,0.2,1.8,2,0,11.9,-4.1,100.4,109,-8.6,24.3,2.15,21.3,4,10.9,7.3,9.9,48,52.8,23.4,94.29,10.9
Jordan Farmar_2014-2015,LAC,Regular,2014-2015,28,36,23,13,14.7,1.7,4.4,38.6,1,2.7,36.1,0.3,0.3,90.9,0.2,0.9,1.2,1.9,0.9,0.6,0.1,1.4,0,0,4.6,-1.3,97.7,102.5,-4.7,21.3,2.09,25.6,1.7,7.5,4.6,12.2,49.7,51.3,17.1,96.49,6.4
Jordan Hamilton_2014-2015,LAC,Regular,2014-2015,24,14,10,4,8.7,1,2.5,40,0.7,1.5,47.6,0,0,0,0.1,1,1.1,0.5,0.3,0.1,0,1,0,0,2.7,-2.1,100.2,107.2,-7,9,1.75,15.2,1.9,12.5,7.4,8.7,54.3,54.3,14.9,98.35,5.3
Jordan Hill_2014-2015,LAL,Regular,2014-2015,27,70,19,51,26.8,5.1,11.1,45.9,0,0.2,27.3,1.8,2.4,73.8,2.5,5.5,7.9,1.5,1.5,0.5,0.7,2.3,22,0,12,-5.7,98.6,109.5,-10.9,9.6,0.97,9.7,9.7,23.2,16.2,10,46.1,49.4,22.5,96.96,10.8
Jorge Gutierrez_2014-2015,MIL,Regular,2014-2015,26,20,10,10,8.7,1.1,2.1,53.7,0,0.2,0,0.5,0.7,69.2,0.3,1,1.3,1.1,0.6,0.3,0,1.3,0,0,2.7,-1.3,92.5,99.5,-7,21.2,1.83,27.3,3.2,11.9,7.8,14.9,53.7,56.7,15.1,96.65,7.9
Jose Calderon_2014-2015,NYK,Regular,2014-2015,33,42,7,35,30.2,3.5,8.4,41.5,1.4,3.4,41.5,0.7,0.8,90.6,0.5,2.5,3,4.7,1.8,0.7,0,1.8,2,0,9.1,-8.1,96.7,111.2,-14.5,25.1,2.64,30.9,1.6,9.9,5.6,11.7,49.9,51.9,16,93.94,8.2
Jose Juan Barea_2014-2015,DAL,Regular,2014-2015,31,77,49,28,17.7,2.9,7,42,0.7,2.2,32.3,1,1.2,80.9,0.3,1.4,1.7,3.4,0.9,0.4,0,1.4,0,0,7.5,1.6,109.4,104.8,4.5,29.5,3.76,28.9,1.9,9,5.4,7.7,47,50.2,21.5,95.8,10.2
Josh McRoberts_2014-2015,MIA,Regular,2014-2015,28,17,8,9,17.4,1.6,3.1,52.8,0.5,1.1,42.1,0.5,0.8,61.5,0.4,2.2,2.6,1.9,1.3,0.7,0.2,2.4,0,0,4.2,1.8,103.9,97.8,6.1,16.8,1.5,29,3,15.9,9.5,19.3,60.4,61.3,13.2,90.65,7.4
Josh Smith_2014-2015,HOU,Regular,2014-2015,29,83,41,42,27.7,5,11.9,41.9,0.9,2.7,31.6,1.5,3.1,49.8,1.8,4.6,6.4,3.3,2.5,1,1.4,2.7,15,0,12.4,0.2,101.9,101.8,0.1,20.7,1.34,17.5,6.9,17.5,12.2,13,45.6,46.7,24.5,99.28,9.7
Jrue Holiday_2014-2015,NOP,Regular,2014-2015,25,40,20,20,32.6,6,13.4,44.6,1.3,3.4,37.8,1.6,1.9,85.5,0.8,2.6,3.4,6.9,2.3,1.6,0.6,2.8,5,0,14.8,2.5,108.8,105.3,3.5,32.2,3.01,29.4,2.8,9,5.9,9.8,49.3,52.2,22.7,95.51,11.1
Julius Randle_2014-2015,LAL,Regular,2014-2015,20,1,0,1,13.6,1,3,33.3,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,2,-18,58.3,132.4,-74.1,0,0,0,0,0,0,20.5,33.3,25.8,17,89.58,-24.2
Justin Hamilton_2014-2015,MIN,Regular,2014-2015,25,41,6,35,17.4,2.1,4.3,47.8,0.2,0.8,32.3,1,1.1,83,1.4,1.9,3.3,0.9,0.6,0.7,0.7,1.7,2,0,5.3,-4.2,98.4,110.2,-11.8,9,1.38,13.8,9.5,12.8,11.1,10,50.6,55.1,14.8,93.57,8.4
Justin Holiday_2014-2015,GSW,Regular,2014-2015,26,59,49,10,11.1,1.5,4,38.7,0.6,1.8,32.1,0.6,0.8,82.2,0.2,1,1.2,0.8,0.5,0.7,0.2,0.9,0,0,4.3,-0.2,101.3,98.3,3,11.4,1.66,14.5,1.9,9.4,5.8,8.7,46.2,49.8,19,100.11,7.9
Jusuf Nurkic_2014-2015,DEN,Regular,2014-2015,20,62,21,41,17.8,2.8,6.2,44.6,0,0,0,1.4,2.1,63.6,2,4.1,6.2,0.8,1.4,0.8,1.1,3.3,4,0,6.9,-0.1,100.3,101.8,-1.5,7.2,0.58,8.7,11.6,24.9,18.1,14.9,44.6,48.3,20.5,99.17,8.8
KJ McDaniels_2014-2015,HOU,Regular,2014-2015,22,62,19,43,21.8,2.8,7,39.6,0.7,2.4,28.7,1.6,2.1,75.2,1,2.2,3.2,1.2,1.7,0.7,1.1,2,1,0,7.9,-4.2,91.9,100.5,-8.6,9.5,0.69,10.8,4.9,11.3,7.9,15.7,44.6,49.4,19.2,98.28,6.7
Kalin Lucas_2014-2015,MEM,Regular,2014-2015,26,1,0,1,5.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-7,81,120.6,-39.6,0,0,0,0,0,0,0,0,0,6.3,96.87,-5
Kawhi Leonard_2014-2015,SAS,Regular,2014-2015,24,64,46,18,31.8,6.2,12.8,47.9,1,3,34.9,3.2,3.9,80.2,1.3,5.9,7.2,2.5,1.5,2.3,0.8,2,14,0,16.5,6.9,109.1,97.1,12,12.4,1.66,13.5,4.9,20.4,12.9,8.1,52,56.7,23.1,96.2,14.8
Kelly Olynyk_2014-2015,BOS,Regular,2014-2015,24,64,31,33,22.2,3.9,8.3,47.5,1,2.7,34.9,1.5,2.1,68.4,1.4,3.3,4.7,1.7,1.5,1,0.6,3.3,3,0,10.3,3.5,104.7,100,4.7,11.5,1.11,13.7,7,16.9,11.8,12.3,53.3,55.8,20.8,98.92,9.4
Kemba Walker_2014-2015,CHA,Regular,2014-2015,25,62,21,41,34.2,6.1,15.8,38.5,1.4,4.5,30.4,3.8,4.6,82.7,0.6,3,3.5,5.1,1.6,1.4,0.5,1.5,4,0,17.3,-3,97.6,102.2,-4.6,27.2,3.18,20.9,1.8,10.2,5.8,6.6,42.9,48.6,25.9,95.06,12.1
Kendall Marshall_2014-2015,MIL,Regular,2014-2015,23,28,13,15,14.9,1.6,3.6,45.5,0.6,1.6,39.1,0.3,0.3,88.9,0.1,0.9,1,3.1,1.3,0.8,0,0.9,0,0,4.2,1.9,107.8,99.8,8,30.1,2.46,38.1,0.6,7.2,4.1,15.5,54.5,56.2,16,93.4,9.3
