sampleNumber,pitchMin,pitchMax,pitchAve,energy,duration,f0,f1,f2,emotion
93,206.123105105,389.8942824184,279.0780094833,0.0011207011,0.8103125,2233.5822485499,4324.0913808862,--undefined--,Happy
94,238.1042360392,326.2181669223,271.0857510367,0.0146231106,0.767625,744.0081323131,2097.8120108382,4315.3734322316,Happy
95,188.366915722,278.760429216,255.4779005772,0.0192159504,1.1940625,885.4134458634,2607.0202806445,3977.6958035585,Happy
96,165.0092337009,300.1057086665,231.2796891509,0.0055381428,0.93825,962.7780641639,1238.1967579748,4416.7698277228,Happy
97,177.4283666508,312.2423944514,274.0919214317,0.0198490539,0.93825,1155.0294924424,2098.7341683306,4309.1149209487,Happy
98,274.1475899536,311.2597650834,294.8058542244,0.0155605166,0.81025,1063.9709851971,2588.9203174569,4138.924600161,Happy
99,135.10511489,306.4598474227,245.7149911749,0.0254107251,1.13725,797.5012951386,3474.1291226747,--undefined--,Happy
100,167.8424811691,241.891952594,214.4964878641,0.0035303656,1.279375,1217.0311990657,3315.807007,--undefined--,Happy
101,127.6161589766,435.4877322019,244.3425968955,0.0022239197,1.4763125,1169.7002576439,2727.8316789264,3785.4412381182,Happy
102,135.9452823223,430.9798366999,248.7258080363,0.0036296602,1.4763125,895.8828392568,2343.712237944,3913.916657501,Happy
103,113.3841363131,226.97079172,188.8479285757,0.0016542318,1.3943125,2696.6394113943,3763.2762189116,--undefined--,Happy
104,195.3972924713,306.4748394282,260.9809355637,0.0088197309,1.4763125,830.007332077,1572.6474953585,3218.9073220084,Happy
105,156.8595848928,260.6831005882,215.7303791603,0.0017651848,1.3943125,787.6262099123,2325.942504393,3860.1311689078,Happy
106,135.9388952636,343.6857018872,260.7148426718,0.0045153212,1.3943125,1541.2094601118,4570.6177986636,--undefined--,Happy
107,178.8962120372,593.0717136582,252.7652858706,0.0050833176,1.5583125,2229.2033909495,4442.707789317,--undefined--,Happy
108,129.9730065622,226.321240086,192.6544207288,0.0046523305,2.0504375,709.6150857077,2304.2779052587,3811.7208658613,Happy
109,154.0024323915,341.7522676395,245.0182742491,0.0140919689,1.31225,1024.8346196179,3730.0781750448,--undefined--,Happy
110,119.5138753587,350.7789072529,264.1419646374,0.0058815506,1.3123125,1128.5608491615,2038.0753124006,4074.37827498,Happy
111,149.297413012,294.8647750939,238.8068982312,0.0090594414,1.4763125,785.1112043563,2630.4910045824,--undefined--,Happy
112,143.0314206653,428.294865903,300.6871070555,0.0090211494,1.31225,1366.4148930147,1544.5181779648,4351.5921235728,Happy
113,156.9760640134,195.2843165993,182.0930321694,0.0036330768,1.476375,2388.7311285412,2836.7576543941,--undefined--,Happy
114,164.4848163642,271.5849811766,240.4897649369,0.0028022382,1.722375,2456.3774620811,3676.7100438645,--undefined--,Happy
115,116.7276765687,293.7836332456,228.4502324531,0.0205923132,1.640375,310.8280453262,2272.1703322411,4597.541933073,Happy
116,125.6032156681,239.9651446351,199.1083604904,0.0065996202,2.0505,431.9241189515,2513.5103286816,3981.1548375782,Happy
117,138.3141821906,341.668466406,244.4561362986,0.0029513811,1.2303125,2312.665568515,4504.3489886567,--undefined--,Happy
118,157.1881271504,200.2607618906,181.35862561,0.0015080793,1.3943125,2092.2534916946,4174.3712294006,--undefined--,Happy
119,273.2424435425,301.8499136856,286.2937740122,0.0045046977,1.804375,2836.4358746383,4965.4904739195,--undefined--,Happy
120,105.0111598699,339.036960587,241.8117836375,0.0017969372,0.9841875,556.8705383099,2597.8555699328,4253.2941049263,Happy
121,133.2010840995,335.7043661772,257.5842887084,0.016333304,1.4763125,1241.7407929163,2800.5134260943,--undefined--,Happy
122,241.6809736984,436.9425959459,353.8224144361,0.0035100643,1.4763125,2795.6262987294,4670.095691465,--undefined--,Happy
123,151.980157652,300.618663599,237.3599645625,0.0062143127,1.4763125,2232.8371092565,4173.6265764526,--undefined--,Happy
124,179.0121375251,311.9022440549,253.9871677869,0.0067635935,1.31225,336.9603677184,2115.3979051087,4513.0778018477,Happy
125,75.5385423847,287.1428946982,211.7448358094,0.0064598517,1.722375,2677.5816408273,5390.279767177,--undefined--,Happy
126,132.6390465819,300.9054943891,211.8848163179,0.0109444401,1.14825,904.1441863125,3334.9144434241,--undefined--,Happy
127,117.6181236647,354.8627018953,230.9857273552,0.0049898865,1.2303125,2924.5605267855,4717.2083501388,--undefined--,Happy
128,144.728228743,332.9910943916,247.4913727575,0.0045234253,1.0661875,885.5237088722,2394.9221647296,4095.8997147331,Happy
129,106.9743027708,256.5387302947,185.552925195,0.0043396596,1.3123125,2676.4067842919,3733.4589395315,--undefined--,Happy
130,152.0088578399,352.0803975529,271.0371454156,0.0037702132,1.3943125,604.5217227041,4342.4468410028,--undefined--,Happy
131,143.3144591806,349.1879857328,262.7622696779,0.0141689179,1.3943125,824.7831498432,903.9787809032,3995.8083625439,Happy
132,115.1410709494,287.3541115865,212.2927426101,0.0114014155,1.3943125,832.7090372176,3715.1816743705,--undefined--,Happy
133,140.1361619814,221.4884583698,200.6453229545,0.007518049,1.640375,1725.9936307742,3762.0872357638,--undefined--,Happy
134,291.6949808706,334.3298303839,309.3490400414,0.0094165138,1.3943125,2073.0648277838,4545.4231213882,--undefined--,Happy
135,220.4239855753,344.2284827048,304.3178567285,0.0014334574,1.14825,2457.6451813733,4473.816598343,--undefined--,Happy
136,224.0564248774,311.6720008352,249.3204539847,0.0035836976,1.14825,956.5821251355,2281.2585867722,3873.587378477,Happy
137,115.5523068943,315.3987836907,227.0445687089,0.0207007118,1.3123125,670.1471041716,1991.1656390637,4184.1666334714,Happy
138,132.8736269317,462.0841192963,273.9694899212,0.008778719,1.640375,1203.0412820098,3179.4178794734,--undefined--,Happy
139,149.2437890469,281.6776092459,215.8257947436,0.0106727581,1.3943125,977.9147984918,3451.781160484,--undefined--,Happy
140,223.280358007,323.9321946635,285.6537819325,0.0034952863,1.3123125,834.7202274097,3322.0252456529,--undefined--,Happy
141,117.3992256705,249.8323565833,188.6332468131,0.0147058078,1.3943125,2286.6525830183,4094.3673780437,--undefined--,Happy
142,128.5765576218,352.5487268735,237.5164031062,0.0116592268,1.4763125,2547.3312473408,4501.8004475741,--undefined--,Happy
143,231.3265064758,359.5139688867,316.52901167,0.0005035969,1.06625,839.2140683988,2624.965361452,4488.2822035169,Happy
144,150.9655391601,225.7048330464,187.2055239932,0.0063980778,1.23025,2802.6033051562,4385.5754980044,--undefined--,Happy
145,131.7749459845,506.3807187738,261.0823350542,0.0136962318,1.3123125,2498.2799538024,4611.9512119435,--undefined--,Happy
146,126.9701918676,589.0778533965,260.3513471114,0.0041725789,1.5583125,1170.0285111655,3123.4804060509,--undefined--,Happy
147,137.5408202126,213.0813998385,169.1577635693,0.0040914275,1.23025,1136.5027419229,2668.8516893955,3965.7758392887,Happy
148,200.9992593884,282.6657163889,250.2799187992,0.0139480572,1.2029375,1282.2816501867,4287.1258625688,--undefined--,Happy
149,126.4754679187,250.8963571396,201.9384838205,0.0052472452,1.8454375,1212.4607297925,1993.9873924068,3467.1121991693,Happy
150,116.4272826234,229.6326233773,183.1396716505,0.0120758507,1.640375,1041.3580212166,2611.0051493128,4177.7422996209,Happy
151,241.3176127715,319.4777881567,303.461599991,0.0072243189,1.385875,694.170832794,2705.2234420939,3854.4561674045,Happy
152,255.7388887134,444.7500131491,310.6676060465,0.0101436689,1.297125,1093.9247204286,1914.6751154361,3659.2532799826,Happy
153,289.0535756695,470.6185946773,356.7813569923,0.0117680422,1.5081875,506.1888196833,2268.1618991182,4088.0364575644,Happy
154,243.7311995215,528.6424249935,304.0324553047,0.0036894095,1.406,860.50021756,2276.5284813627,4099.9271031238,Happy
155,178.5670867388,567.031076358,298.1116746304,0.0023932294,1.2175625,1022.0687596905,2598.2491267038,--undefined--,Happy
156,183.0783322381,560.4550797627,258.7808891054,0.0024095986,0.9635,1131.432794324,2689.0725279882,4112.5036998238,Happy
157,229.5272248046,560.6538311699,331.6267673227,0.0034812033,1.3886875,2205.3184683956,4548.3285685956,--undefined--,Happy
158,177.1006207077,381.0894063925,272.5971984158,0.0086341169,1.14725,621.1174109777,2451.2487458781,4211.6569457967,Happy
159,221.8133941219,595.0158882717,292.7751811866,0.0027244035,1.384625,528.5793012177,2597.398244476,4361.736402208,Happy
160,189.7719006606,508.8493315298,326.7259591841,0.0028222444,1.1715625,1110.2397956505,2242.3034868432,3789.8151675931,Happy
161,197.8586633199,462.8581898588,328.2953831968,0.0044741139,1.171625,697.6099442974,2120.9570391445,3254.5657056913,Happy
162,178.2725267739,421.5654846084,269.5892543118,0.0040877666,1.41725,957.542250294,2359.1365800496,3732.1048079956,Happy
163,208.6694371786,281.62065316,259.3612546472,0.0012381293,0.8641875,1009.533246434,2851.7781341874,4386.3858853726,Happy
164,185.0719326046,320.9603415029,268.7558140566,0.0046675972,1.014875,651.1034110011,2587.519390698,4227.7265573367,Happy
165,175.679920772,508.0360696469,301.705050913,0.0042743422,0.785625,952.9086784584,1791.5892805785,3769.3313025751,Happy
166,192.6173497551,318.1649761212,268.649697113,0.0048202906,0.8445625,1079.7943834929,2385.7128369669,3835.0272751807,Happy
167,109.8174962048,314.0526923721,242.4622341859,0.0067989793,1.1415625,1203.4913328716,2019.9485359938,3795.257439387,Happy
168,223.1907236484,449.2844523756,314.3748333317,0.001882828,0.7454375,1220.3306405707,2966.2811061074,--undefined--,Happy
169,206.390816444,315.5142308437,273.560809824,0.0012729436,0.69425,917.6743977463,2218.9987457897,4783.578328278,Happy
170,122.9897974648,471.3357213573,296.6482604987,0.0041548066,0.8153125,245.7428551833,2147.2021859956,3874.7196992567,Happy
171,170.4672033444,402.5060065036,249.3709563477,0.00546973,0.8274375,999.1585654558,2274.9026330411,4167.9362264276,Happy
172,240.1852047705,356.4067307513,299.866604755,0.0032581479,0.611625,678.4299341086,1976.1908820444,3900.6976932618,Happy
173,231.9424282611,411.9176972736,302.1775562134,0.0047779617,0.652375,1150.0474529514,3099.405304527,--undefined--,Happy
174,209.2497195873,558.9306518438,259.6718465927,0.0042671454,1.141625,1064.7168908888,2506.2034053988,4335.7310656199,Happy
175,178.4504628627,283.8395181141,231.798051731,0.0128455127,1.1463125,1048.3072830136,2412.2666487104,4088.6973620399,Happy
176,267.5036353145,596.7228156998,403.0774194524,0.0127895218,1.223125,1114.8254392321,2143.5118428706,3685.902001228,Happy
177,163.3261213467,590.8388973308,290.8799909172,0.0216632997,1.3046875,1936.0959054734,4697.660602183,--undefined--,Happy
178,227.4611884212,531.0788314182,303.8596130112,0.0026421811,0.93775,1023.924965524,2338.7262493464,4345.9044403228,Happy
179,170.1653797288,362.7579728638,268.7447865568,0.0094622608,1.0193125,1061.0313652463,1243.9031007969,3772.1359069835,Happy
180,203.4647337162,549.5692161275,305.6204774871,0.0051895366,0.8561875,1183.4848881264,2410.8366889724,3976.8791519186,Happy
181,149.5680568539,329.0928994498,269.726159999,0.0146196241,1.133875,1530.1671552936,2389.9630533494,4750.9674446779,Happy
182,90.1473547275,281.4285740811,260.0058738344,0.0043684691,0.7820625,747.0698218165,2959.9704137698,--undefined--,Happy
183,182.3507475879,271.0239399035,234.8792070341,0.0071343586,0.712625,516.0129492035,2278.9087688541,4933.6834652626,Happy
184,266.5943614953,311.135464512,290.9319467271,0.0086344796,0.6425625,650.852178962,2726.8489779677,3979.9997321297,Happy
185,266.0958402204,487.6285606805,344.5942986772,0.0048229213,0.7919375,2049.1720608575,4300.0724074313,--undefined--,Happy
186,157.2327772374,287.1339277716,240.0863770897,0.0109044515,0.846875,705.3406839183,2792.0409018389,3926.4986822085,Happy
187,76.7755687868,512.7298008092,293.8780296424,0.0107302107,0.907125,454.3295408062,2377.7784610832,4054.415008645,Happy
188,82.8214947261,570.3639609855,237.3541955369,0.0085141816,1.133875,722.4723727914,2291.4084232299,4338.6203809476,Happy
189,219.8988268881,370.914127315,299.0661419488,0.0203920498,0.7978125,1007.3011402376,1078.3603602803,3959.9373557093,Happy
190,270.6897623757,569.9104664339,402.7651303426,0.0062662602,0.6376875,3253.6766380925,--undefined--,--undefined--,Happy
191,78.4017762731,457.0072965518,288.7822614467,0.0162625297,1.3851875,1165.805291955,2163.4796944978,3615.0658509767,Happy
192,331.1556661395,567.926166127,407.8392474901,0.0019793035,0.89525,2279.8331338135,4491.6861471706,--undefined--,Happy
193,227.2398623765,591.8255457547,326.8084403092,0.0148567986,0.779125,1008.1370628041,2474.3069563254,3894.3435188162,Happy
194,177.076943224,370.8375271802,273.8580290467,0.0242604922,1.1686875,967.1667809457,3805.2990856774,--undefined--,Happy
195,201.8889984571,329.2738147417,274.2012718422,0.010169964,1.278125,1022.0466594277,2424.746014544,4437.5088540288,Happy
196,169.4164060624,481.0149212152,319.0710609915,0.0137202823,1.0860625,1211.2965153221,2260.6355284002,3714.8327282,Happy
197,230.5992641837,328.0375310415,281.0365229855,0.0089047235,1.0650625,811.0343512932,2269.8626398002,3974.4263065233,Happy
198,175.4944977055,313.2721054944,258.0547018381,0.0273023626,1.1348125,1446.3992177586,3933.9994149542,--undefined--,Happy
199,170.4325297438,297.1022320554,227.746213612,0.0059493437,1.108875,1394.9238822516,3959.9975518344,--undefined--,Happy
200,196.4893922208,347.7086619962,246.2488820512,0.014029466,1.305625,1105.4431119814,2265.5716170416,3860.2301289872,Happy
201,195.5847762572,501.3720663407,392.0422527469,0.0428904855,1.909625,1201.2886600222,2790.2401079989,3688.2144806517,Happy
202,186.4201165355,550.5642949153,401.2092158817,0.0830399499,1.9096875,1325.8399520468,2541.4245141963,4073.1210930796,Happy
203,233.1197541943,580.4567049572,382.390286645,0.0240735319,1.756875,2182.3077952723,3783.4867244327,--undefined--,Happy
204,214.4895048159,543.3326405438,359.2215744613,0.109054029,1.756875,1749.9019547196,2645.2250797311,--undefined--,Happy
205,262.636345397,450.8652421027,341.0171484222,0.0327693308,1.83325,1663.2184888568,3270.4457659974,--undefined--,Happy
206,192.8413508584,465.0141111056,329.6083773204,0.0151109297,1.909625,1005.8311159479,2963.8263433198,4106.8873413115,Happy
207,214.0030034548,599.1227148354,351.549556717,0.0206797513,2.2915625,736.2466833005,3040.8039639041,4204.4797218255,Happy
208,222.1005959543,578.054302283,329.6830595025,0.0309247725,1.52775,1049.6539108119,2513.5601128589,3948.3506886165,Happy
209,261.6179703109,516.9415884111,365.1961579418,0.0377197056,2.2151875,1798.3778673099,3204.4909756789,--undefined--,Happy
210,234.7442821253,513.1242001446,346.3852493182,0.0055702785,2.0624375,1166.9358338417,2556.2104936925,4011.9296755452,Happy
211,101.3335645499,597.5908428897,372.3148615013,0.028920176,1.9096875,1942.7325691772,4192.3699191511,--undefined--,Happy
212,308.0342077875,543.5775174501,392.3508913474,0.0632743059,1.6040625,2036.6675133333,--undefined--,--undefined--,Happy
213,312.168199275,593.2665735529,434.537296894,0.056731308,2.0624375,2543.3684297292,4157.3380244904,5021.6147794827,Happy
214,249.6321158817,584.7916298001,398.343111458,0.0244090936,1.6805,422.2542740844,2872.9069493516,4112.6920785323,Happy
215,293.2064413493,582.9853886829,392.5762999519,0.0550849581,1.604125,2149.7601993935,4325.5652658105,--undefined--,Happy
216,364.7477142899,512.1980833591,426.1146825073,0.0820654561,1.83325,865.4777279122,3692.9791712508,--undefined--,Happy
217,355.4662166442,531.8786218162,438.995731926,0.1032703334,1.909625,520.0147869,2798.6534502799,4628.3247933134,Happy
218,370.5795667039,599.5412285094,454.2096556714,0.0784133862,1.6040625,286.1287688368,2692.5045618331,4009.5362580209,Happy
219,302.4949447169,592.3831084895,412.2697227373,0.0182610993,1.2985625,968.265835167,2506.7634414125,4945.0756726402,Happy
220,305.0864035898,592.4380967598,411.6133601794,0.028196344,1.77975,2492.3745575872,4373.5902210465,--undefined--,Happy
221,305.8308381419,596.148148999,382.5480044628,0.0692945664,1.756875,831.043984393,2585.8135033381,4333.0840799038,Happy
222,357.6213193226,578.6165971568,464.4790459926,0.0762741914,1.3749375,1306.6515254787,1708.9786591173,4031.3631908438,Happy
223,311.7201039881,596.8956077026,406.7393414813,0.0279198395,1.604125,1774.2883495626,3643.5665033926,--undefined--,Happy
224,312.6025656468,593.0968712509,427.5407160254,0.0450284564,2.1388125,806.1190630951,2199.788147811,4342.0807770446,Happy
225,332.3242761904,585.5991564507,415.4023373376,0.0304937837,1.4513125,2460.5946149925,4204.9939764747,--undefined--,Happy
